# 人社意图本体库
## 一、意图分类规则
### （一）分类逻辑
以人社核心业务场景为一级分类，按用户身份（应届生/在职/失业/退休等）、业务类型（查询/办理/咨询/投诉等）为二级维度，通过关键词匹配（如“社保缴费”“失业补贴”“劳动仲裁”）界定意图归属，确保分类精准且覆盖全场景。

### （二）一级分类及核心关键词
| 一级分类       | 核心关键词                                                                 |
|----------------|--------------------------------------------------------------------------|
| 就业服务       | 求职、招聘、职业培训、就业指导、实习、应届生就业、灵活就业、失业再就业       |
| 社会保障（社保）| 社保参保、缴费、转移、查询、补缴、停保、续保、社保基数、社保待遇             |
| 社会保障（医保）| 医保报销、异地就医、医保缴费、医保查询、定点医院、药品目录、门诊慢特病       |
| 住房公积金     | 公积金提取、缴存、转移、查询、贷款、还款、公积金基数                         |
| 劳动关系       | 劳动合同、工资、加班、辞退、离职、劳动仲裁、工伤认定、经济补偿               |
| 补贴福利       | 应届生补贴、创业补贴、失业补贴、租房补贴、育儿补贴、高温补贴、残疾人补贴     |
| 退休养老       | 退休办理、养老金、退休资格认证、延迟退休、养老待遇、视同缴费年限             |
| 人才服务       | 人才引进、落户、职称评定、人才补贴、学历认证、技能证书、职业资格               |
| 人事档案       | 档案查询、档案转移、档案托管、档案补办、档案政审、学籍档案、工作档案           |
| 公共服务       | 社保卡办理、挂失、补办、信息变更、电子社保卡、人社政策咨询、投诉举报         |

## 二、典型用户意图（208条）
### （一）就业服务（25条）
19. 公积金贷款提前还款流程
20. 查询公积金账户余额

### （五）劳动关系（25条）
1. 企业未签订劳动合同如何维权
2. 离职后公司拖欠工资怎么投诉
3. 加班工资计算标准（休息日/法定节假日）
4. 被公司辞退能否申请经济补偿
5. 劳动合同到期不续签有补偿吗
6. 工伤认定申请流程（工作中受伤）
7. 咨询劳动合同解除流程
8. 公司降薪是否合法（未协商一致）
9. 劳动仲裁申请条件及材料
10. 试用期被辞退有工资吗
11. 咨询竞业限制协议法律效力
12. 企业拖欠加班费如何维权
13. 工伤赔偿标准（十级伤残）
14. 咨询劳动合同签订期限规定
15. 员工主动离职有经济补偿吗
16. 劳动仲裁结果不服如何上诉
17. 公司要求加班但不支付加班费怎么办
18. 咨询经济补偿金计算方式（N+1）
19. 劳务派遣员工权益保障咨询
20. 企业违法解除劳动合同如何赔偿
21. 工伤医疗费用报销流程
22. 咨询最低工资标准（北京2024年）
23. 员工被迫离职如何维权
24. 劳动争议调解流程咨询
25. 咨询高温津贴发放标准（夏季）

### （六）补贴福利（25条）
1. 申请应届生就业补贴（北京地区）
2. 创业补贴申请条件（个体工商户）
3. 失业补贴领取流程（缴纳社保5年）
4. 租房补贴申请（应届生无房）
5. 育儿补贴领取标准（二胎家庭）
6. 灵活就业人员社保补贴申请
7. 残疾人就业创业补贴咨询
8. 高校毕业生基层就业补贴申请
9. 创业担保贷款申请（小微企业）
10. 失业人员职业培训补贴领取
11. 高温补贴发放标准（户外工作者）
12. 农村劳动力转移就业补贴申请
13. 退役军人创业补贴咨询
14. 技能提升补贴申请（考取电工证）
15. 灵活就业人员租房补贴申请
16. 应届生创业补贴领取流程
17. 咨询失业补贴领取期限（最长多久）
18. 育儿津贴申请（3岁以下儿童）
19. 困难家庭子女教育补贴申请
20. 灵活就业人员创业补贴咨询
21. 咨询租房补贴发放金额（北京）
22. 失业人员医疗补贴领取
23. 残疾人生活补贴申请条件
24. 高校毕业生创业孵化补贴申请
25. 咨询补贴申请后到账时间

### （七）退休养老（20条）
1. 办理退休手续流程（2024年）
2. 查询养老金发放金额
3. 退休资格认证流程（线上）
4. 咨询延迟退休政策（2024年）
5. 养老金计算方式（缴费15年）
6. 退休后社保关系转移（异地定居）
7. 咨询退休年龄规定（女干部/女职工）
8. 视同缴费年限认定申请
9. 养老金发放时间查询（每月几号）
10. 退休人员医保待遇咨询
11. 未缴满15年社保能否退休
12. 退休后养老金调整规则（2024年）
13. 咨询退休办理所需材料
14. 灵活就业人员退休年龄规定
15. 养老金异地领取流程
16. 退休资格认证失败怎么办
17. 咨询养老金上涨幅度（2024年）
18. 退休后公积金提取流程
19. 特殊工种提前退休申请条件
20. 咨询退休待遇包含哪些项目

### （八）人才服务（20条）
1. 北京人才引进落户申请条件
2. 职称评定流程（工程师）
3. 高校毕业生人才补贴申请（北京）
4. 技能证书查询（电工证真伪）
5. 人才引进住房补贴申请
6. 职业资格证书报名流程（教师资格证）
7. 应届生落户北京政策咨询（2024年）
8. 职称评审材料准备清单
9. 海外留学人才落户申请
10. 咨询人才公寓申请条件
11. 技能提升补贴与职称挂钩吗
12. 人才引进子女入学政策咨询
13. 职业资格证书认定流程（跨地区）
14. 博士毕业生人才补贴领取
15. 咨询职称评审时间（2024年）
16. 紧缺人才认定标准（人工智能行业）
17. 人才落户后社保转移流程
18. 技能证书升级申请（初级→中级）
19. 咨询人才补贴发放期限
20. 高层次人才医疗待遇咨询

### （九）人事档案（15条）
1. 查询人事档案存放地
2. 人事档案转移流程（离职后）
3. 档案托管申请（灵活就业人员）
4. 学籍档案转工作档案流程
5. 人事档案补办流程（丢失）
6. 档案政审办理（考公/参军）
7. 咨询档案托管费用（2024年）
8. 人事档案信息变更（姓名）
9. 异地档案转移到北京流程
10. 档案查询需要哪些材料
11. 企业办理员工档案接收手续
12. 档案托管到期后如何续存
13. 咨询档案转递时间（多久到账）
14. 人事档案调出流程（跨省）
15. 档案材料补充（学历证明）

### （十）公共服务（18条）
1. 社保卡办理流程（应届生）
2. 社保卡挂失与补办（线上）
3. 电子社保卡激活方法（支付宝）
4. 社保卡信息变更（手机号）
5. 咨询人社政策（2024年社保新规）
6. 社保卡密码重置（忘记密码）
7. 投诉社保经办机构服务态度
8. 咨询社保卡使用范围（医院/药店）
9. 社保卡注销流程（异地参保）
10. 人社业务办理进度查询（社保转移）
11. 咨询人社服务大厅地址（北京朝阳区）
12. 电子社保卡解绑流程
13. 投诉企业未缴纳社保
14. 社保卡损坏更换流程
15. 咨询人社业务办理时间（周末是否办公）
16. 人社政策解读（灵活就业社保新规）
17. 社保卡关联银行卡流程
18. 投诉公积金管理中心办事效率

## 三、求职 / 培训 / 政策咨询等 5 类意图
1. 测评规则：如 “技术岗能力维度 = 编程能力 + 沟通能力 + 项目经验”“性格内向→适配岗位 = 后端开发 / 数据工程师”；
2. 政策信息：如 “东城区应届生补贴 = 5000 元，条件 = 应届生 + 东城区就业，流程 = 线上申请→审核→到账”；
3. 能力缺口对应课程：如 “沟通能力弱→推荐《STAR 法则实战课》”“面试表达差→《技术面试话术指南》”
